id,fold
0,3
1,2
2,4
3,1
4,1
5,0
6,0
7,2
8,0
9,4
10,0
11,2
12,2
13,0
14,0
15,0
16,1
17,4
18,2
19,4
20,1
21,1
22,4
23,3
24,1
25,4
26,2
27,4
28,2
29,1
30,0
31,1
32,4
33,1
34,2
35,4
36,3
37,1
38,0
39,4
40,1
41,1
42,4
43,1
44,1
45,2
46,1
47,1
48,0
49,4
50,4
51,0
52,1
53,1
54,0
55,1
56,0
57,1
58,1
59,1
60,3
61,3
62,4
63,4
64,2
65,1
66,3
67,4
68,4
69,0
70,4
71,1
72,2
73,0
74,2
75,3
76,2
77,4
78,0
79,3
80,3
81,1
82,0
83,1
84,2
85,0
86,1
87,1
88,2
89,0
90,1
91,3
92,1
93,3
94,2
95,0
96,4
97,4
98,4
99,2
100,2
101,1
102,3
103,2
104,0
105,0
106,0
107,2
108,3
109,0
110,2
111,3
112,2
113,2
114,3
115,3
116,4
117,2
118,3
119,0
120,2
121,1
122,3
123,3
124,1
125,1
126,1
127,2
128,3
129,1
130,0
131,3
132,3
133,0
134,4
135,4
136,2
137,2
138,0
139,4
140,1
141,3
142,1
143,1
144,1
145,4
146,0
147,3
148,4
149,2
150,2
151,3
152,3
153,0
154,3
155,4
156,4
157,1
158,1
159,0
160,3
161,3
162,0
163,4
164,2
165,4
166,3
167,4
168,2
169,1
170,3
171,2
172,0
173,3
174,1
175,4
176,1
177,2
178,2
179,1
180,0
181,2
182,0
183,3
184,4
185,3
186,4
187,2
188,0
189,4
190,1
191,2
192,0
193,0
194,1
195,0
196,4
197,3
198,1
199,2
200,1
201,2
202,2
203,2
204,0
205,1
206,1
207,3
208,4
209,3
210,2
211,1
212,3
213,3
214,0
215,0
216,1
217,2
218,1
219,4
220,2
221,3
222,1
223,3
224,2
225,1
226,2
227,3
228,4
229,2
230,2
231,2
232,1
233,3
234,3
235,1
236,1
237,0
238,3
239,0
240,3
241,1
242,3
243,2
244,2
245,0
246,1
247,4
248,0
249,3
250,1
251,2
252,3
253,1
254,3
255,3
256,2
257,3
258,4
259,3
260,1
261,4
262,4
263,3
264,2
265,1
266,2
267,2
268,2
269,2
270,2
271,4
272,3
273,0
274,2
275,0
276,1
277,3
278,1
279,2
280,2
281,2
282,3
283,1
284,1
285,0
286,3
287,0
288,4
289,0
290,3
291,2
292,3
293,0
294,0
295,2
296,4
297,1
298,1
299,2
300,4
301,0
302,3
303,0
304,3
305,4
306,4
307,3
308,4
309,4
310,2
311,4
312,4
313,0
314,4
315,1
316,1
317,1
318,0
319,1
320,4
321,4
322,4
323,2
324,2
325,0
326,4
327,2
328,4
329,3
330,2
331,2
332,1
333,0
334,0
335,3
336,3
337,0
338,2
339,0
340,2
341,4
342,2
343,4
344,2
345,4
346,2
347,4
348,0
349,0
350,1
351,0
352,0
353,4
354,1
355,3
356,4
357,2
358,1
359,2
360,3
361,1
362,4
363,1
364,4
365,1
366,0
367,0
368,4
369,3
370,0
371,0
372,0
373,1
374,1
375,0
376,1
377,3
378,2
379,2
380,0
381,3
382,2
383,1
384,0
385,4
386,0
387,0
388,4
389,4
390,0
391,4
392,3
393,1
394,4
395,1
396,4
397,0
398,2
399,4
400,4
401,0
402,2
403,4
404,4
405,2
406,3
407,1
408,4
409,2
410,0
411,2
412,0
413,4
414,1
415,4
416,4
417,4
418,4
419,1
420,3
421,0
422,3
423,0
424,1
425,3
426,3
427,4
428,1
429,0
430,0
431,1
432,2
433,0
434,2
435,4
436,1
437,3
438,2
439,3
440,1
441,4
442,1
443,4
444,3
445,4
446,0
447,1
448,2
449,0
450,2
451,3
452,0
453,3
454,0
455,0
456,1
457,1
458,1
459,0
460,2
461,2
462,4
463,0
464,4
465,3
466,1
467,3
468,1
469,1
470,2
471,2
472,4
473,1
474,4
475,1
476,4
477,2
478,1
479,3
480,1
481,1
482,2
483,2
484,3
485,0
486,0
487,2
488,1
489,3
490,4
491,1
492,4
493,2
494,3
495,2
496,1
497,3
498,2
499,4
500,1
501,0
502,4
